"No,";Time;Source;Destination;Protocol;Length;Info;;;;;;time 1;time 2;;delay;;delay 1;delay 2;Jitter
262;7.364.682;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=85370 Ack=5833 Win=63728 Len=0;;;;"7,364682";;"7,364682";"7,55932";;"0,194638";;"0,19457";"6,8E-05";"-0,194502"
263;7.559.320;"172,31,18,98";"103,107,186,26";"TLSv1,2";760;Application Data;;;;"7,55932";;"7,55932";"7,559388";;"6,8E-05";;"-0,078042";"0,07811";"0,156152"
264;7.559.388;"172,31,18,98";"103,107,186,26";"TLSv1,2";105;Application Data;;;;"7,559388";;"7,559388";"7,637498";;"0,07811";;"-0,084121";"0,162231";"0,246352"
265;7.637.498;"172,31,18,98";"103,107,186,26";"TLSv1,2";1571;Application Data;;;;"7,637498";;"7,637498";"7,799729";;"0,162231";;"0,162231";0;"-0,162231"
266;7.799.729;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=5833 Ack=86076 Win=14663 Len=0;;;;"7,799729";;"7,799729";"7,799729";;0;;"-0,078237";"0,078237";"0,156474"
267;7.799.729;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=5833 Ack=86127 Win=14663 Len=0;;;;"7,799729";;"7,799729";"7,877966";;"0,078237";;"0,078237";0;"-0,078237"
268;7.877.966;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=5833 Ack=87587 Win=14686 Len=0;;;;"7,877966";;"7,877966";"7,877966";;0;;"-0,06216";"0,06216";"0,12432"
269;7.877.966;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=5833 Ack=87644 Win=14686 Len=0;;;;"7,877966";;"7,877966";"7,940126";;"0,06216";;"0,036748";"0,025412";"-0,011336"
270;7.940.126;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"7,940126";;"7,940126";"7,965538";;"0,025412";;"-0,008569";"0,033981";"0,04255"
271;7.965.538;"172,31,18,98";"103,107,186,26";"TLSv1,2";645;Application Data;;;;"7,965538";;"7,965538";"7,999519";;"0,033981";;"-0,007005";"0,040986";"0,047991"
272;7.999.519;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"7,999519";;"7,999519";"8,040505";;"0,040986";;"0,040037";"0,000949";"-0,039088"
273;8.040.505;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=88235 Ack=5979 Win=63582 Len=0;;;;"8,040505";;"8,040505";"8,041454";;"0,000949";;"-0,032425";"0,033374";"0,065799"
274;8.041.454;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"8,041454";;"8,041454";"8,074828";;"0,033374";;"0,033334";4E-05;"-0,033294"
275;8.074.828;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"8,074828";;"8,074828";"8,074868";;4E-05;;-1E-06;"4,1E-05";"4,2E-05"
276;8.074.868;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"8,074868";;"8,074868";"8,074909";;"4,1E-05";;6E-06;"3,5E-05";"2,9E-05"
277;8.074.909;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"8,074909";;"8,074909";"8,074944";;"3,5E-05";;"-0,004436";"0,004471";"0,008907"
278;8.074.944;"172,31,18,98";"103,107,186,26";"TLSv1,2";677;Application Data;;;;"8,074944";;"8,074944";"8,079415";;"0,004471";;"-0,050339";"0,05481";"0,105149"
279;8.079.415;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"8,079415";;"8,079415";"8,134225";;"0,05481";;"-0,016845";"0,071655";"0,0885"
280;8.134.225;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=92215 Ack=6125 Win=63436 Len=0;;;;"8,134225";;"8,134225";"8,20588";;"0,071655";;"-0,037706";"0,109361";"0,147067"
281;8.205.880;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6125 Ack=88235 Win=14686 Len=0;;;;"8,20588";;"8,20588";"8,315241";;"0,109361";;"0,109361";0;"-0,109361"
282;8.315.241;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6125 Ack=89695 Win=14709 Len=0;;;;"8,315241";;"8,315241";"8,315241";;0;;"-4,8E-05";"4,8E-05";"9,6E-05"
283;8.315.241;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6125 Ack=89887 Win=14709 Len=0;;;;"8,315241";;"8,315241";"8,315289";;"4,8E-05";;"4,8E-05";0;"-4,8E-05"
284;8.315.289;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6125 Ack=89940 Win=14709 Len=0;;;;"8,315289";;"8,315289";"8,315289";;0;;"-2,4E-05";"2,4E-05";"4,8E-05"
285;8.315.289;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6125 Ack=91400 Win=14732 Len=0;;;;"8,315289";;"8,315289";"8,315313";;"2,4E-05";;-1E-06;"2,5E-05";"2,6E-05"
286;8.315.313;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6125 Ack=91592 Win=14732 Len=0;;;;"8,315313";;"8,315313";"8,315338";;"2,5E-05";;"-0,004047";"0,004072";"0,008119"
287;8.315.338;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6125 Ack=92215 Win=14732 Len=0;;;;"8,315338";;"8,315338";"8,31941";;"0,004072";;"-0,01866";"0,022732";"0,041392"
288;8.319.410;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"8,31941";;"8,31941";"8,342142";;"0,022732";;"0,022709";"2,3E-05";"-0,022686"
289;8.342.142;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"8,342142";;"8,342142";"8,342165";;"2,3E-05";;"-0,078318";"0,078341";"0,156659"
290;8.342.165;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=92215 Ack=6271 Win=63290 Len=0;;;;"8,342165";;"8,342165";"8,420506";;"0,078341";;"0,047368";"0,030973";"-0,016395"
291;8.420.506;"103,107,186,26";"172,31,18,98";"TLSv1,2";107;Application Data;;;;"8,420506";;"8,420506";"8,451479";;"0,030973";;"0,030946";"2,7E-05";"-0,030919"
292;8.451.479;"103,107,186,26";"172,31,18,98";"TLSv1,2";200;"Application Data, Application Data";;;;"8,451479";;"8,451479";"8,451506";;"2,7E-05";;"-0,139886";"0,139913";"0,279799"
293;8.451.506;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=92215 Ack=6470 Win=63091 Len=0;;;;"8,451506";;"8,451506";"8,591419";;"0,139913";;"0,139845";"6,8E-05";"-0,139777"
294;8.591.419;"172,31,18,98";"103,107,186,26";"TLSv1,2";1555;Application Data;;;;"8,591419";;"8,591419";"8,591487";;"6,8E-05";;"-0,24037";"0,240438";"0,480808"
295;8.591.487;"172,31,18,98";"103,107,186,26";"TLSv1,2";105;Application Data;;;;"8,591487";;"8,591487";"8,831925";;"0,240438";;"0,202208";"0,03823";"-0,163978"
296;8.831.925;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6470 Ack=93716 Win=14755 Len=0;;;;"8,831925";;"8,831925";"8,870155";;"0,03823";;"-0,089048";"0,127278";"0,216326"
297;8.870.155;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6470 Ack=93767 Win=14755 Len=0;;;;"8,870155";;"8,870155";"8,997433";;"0,127278";;"0,084192";"0,043086";"-0,041106"
298;8.997.433;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"8,997433";;"8,997433";"9,040519";;"0,043086";;"0,042182";"0,000904";"-0,041278"
299;9.040.519;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=93767 Ack=6543 Win=63018 Len=0;;;;"9,040519";;"9,040519";"9,041423";;"0,000904";;"-0,045065";"0,045969";"0,091034"
300;9.041.423;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"9,041423";;"9,041423";"9,087392";;"0,045969";;"-0,066519";"0,112488";"0,179007"
301;9.087.392;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=93767 Ack=6616 Win=62945 Len=0;;;;"9,087392";;"9,087392";"9,19988";;"0,112488";;"0,065754";"0,046734";"-0,01902"
302;9.199.880;"172,31,18,98";"103,107,186,26";"TLSv1,2";387;Application Data;;;;"9,19988";;"9,19988";"9,246614";;"0,046734";;"-0,146879";"0,193613";"0,340492"
303;9.246.614;"172,31,18,98";"103,107,186,26";"TLSv1,2";1367;Application Data;;;;"9,246614";;"9,246614";"9,440227";;"0,193613";;"0,146864";"0,046749";"-0,100115"
304;9.440.227;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6616 Ack=94100 Win=14755 Len=0;;;;"9,440227";;"9,440227";"9,486976";;"0,046749";;"-0,074525";"0,121274";"0,195799"
305;9.486.976;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6616 Ack=95413 Win=14777 Len=0;;;;"9,486976";;"9,486976";"9,60825";;"0,121274";;"0,081104";"0,04017";"-0,040934"
306;9.608.250;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"9,60825";;"9,60825";"9,64842";;"0,04017";;"0,040116";"5,4E-05";"-0,040062"
307;9.648.420;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"9,64842";;"9,64842";"9,648474";;"5,4E-05";;"-0,039996";"0,04005";"0,080046"
308;9.648.474;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=95413 Ack=6762 Win=62799 Len=0;;;;"9,648474";;"9,648474";"9,688524";;"0,04005";;"0,009048";"0,031002";"0,021954"
309;9.688.524;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"9,688524";;"9,688524";"9,719526";;"0,031002";;"0,030956";"4,6E-05";"-0,03091"
310;9.719.526;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"9,719526";;"9,719526";"9,719572";;"4,6E-05";;"-0,106611";"0,106657";"0,213268"
311;9.719.572;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=95413 Ack=6908 Win=62653 Len=0;;;;"9,719572";;"9,719572";"9,826229";;"0,106657";;"0,106614";"4,3E-05";"-0,106571"
312;9.826.229;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"9,826229";;"9,826229";"9,826272";;"4,3E-05";;-4E-06;"4,7E-05";"5,1E-05"
313;9.826.272;"172,31,18,98";"103,107,186,26";"TLSv1,2";115;Application Data;;;;"9,826272";;"9,826272";"9,826319";;"4,7E-05";;3E-05;"1,7E-05";"-1,3E-05"
314;9.826.319;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"9,826319";;"9,826319";"9,826336";;"1,7E-05";;"-1,2E-05";"2,9E-05";"4,1E-05"
315;9.826.336;"172,31,18,98";"103,107,186,26";"TLSv1,2";595;Application Data;;;;"9,826336";;"9,826336";"9,826365";;"2,9E-05";;"-0,240279";"0,240308";"0,480587"
316;9.826.365;"172,31,18,98";"103,107,186,26";"TLSv1,2";105;Application Data;;;;"9,826365";;"9,826365";"10,066673";;"0,240308";;"0,240308";0;"-0,240308"
317;10.066.673;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6908 Ack=96873 Win=14800 Len=0;;;;"10,066673";;"10,066673";"10,066673";;0;;0;0;0
318;10.066.673;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6908 Ack=97065 Win=14800 Len=0;;;;"10,066673";;"10,066673";"10,066673";;0;;"-6,1E-05";"6,1E-05";"0,000122"
319;10.066.673;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6908 Ack=97126 Win=14800 Len=0;;;;"10,066673";;"10,066673";"10,066734";;"6,1E-05";;"6,1E-05";0;"-6,1E-05"
320;10.066.734;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6908 Ack=97179 Win=14800 Len=0;;;;"10,066734";;"10,066734";"10,066734";;0;;0;0;0
321;10.066.734;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6908 Ack=97720 Win=14800 Len=0;;;;"10,066734";;"10,066734";"10,066734";;0;;"-0,253807";"0,253807";"0,507614"
322;10.066.734;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=6908 Ack=97771 Win=14800 Len=0;;;;"10,066734";;"10,066734";"10,320541";;"0,253807";;"0,253807";"-10,320541";"-10,574348"
323;10.320.541;"103,107,186,26";"172,31,18,98";"TLSv1,2";107;Application Data;;;;"10,320541";;"10,320541";;;;;0;0;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Total delay;"10,320541";;;total jitter;0
;;;;;;;;;;;;;;Rata - rata delay;"0,031952139";;;rata rata jitter;0
