"No,";Time;Source;Destination;Protocol;Length;Info;;;;;;time 1;time 2;;delay;;delay 1;delay 2;Jitter
57;"0,679802";"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=31658 Ack=1222 Win=63697 Len=0;;;;;;"0,679802";"0,682081";;"0,002279";;"-0,042351";"0,04463";"0,086981"
58;"0,682081";"103,107,186,26";"172,31,18,98";"TLSv1,2";183;"Application Data, Application Data, Application Data";;;;;;"0,682081";"0,726711";;"0,04463";;"0,043608";"0,001022";"-0,042586"
59;"0,726711";"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=31658 Ack=1351 Win=63568 Len=0;;;;;;"0,726711";"0,727733";;"0,001022";;"-0,000949";"0,001971";"0,00292"
60;"0,727733";"103,107,186,26";"172,31,18,98";"TLSv1,2";226;"Application Data, Application Data, Application Data, Application Data";;;;;;"0,727733";"0,729704";;"0,001971";;"-0,010745";"0,012716";"0,023461"
61;"0,729704";"172,31,18,98";"103,107,186,26";"TLSv1,2";101;Application Data;;;;;;"0,729704";"0,74242";;"0,012716";;"-0,004477";"0,017193";"0,02167"
62;"0,74242";"172,31,18,98";"103,107,186,26";"TLSv1,2";91;Application Data;;;;;;"0,74242";"0,759613";;"0,017193";;"-0,022971";"0,040164";"0,063135"
63;"0,759613";"103,107,186,26";"172,31,18,98";"TLSv1,2";183;"Application Data, Application Data, Application Data";;;;;;"0,759613";"0,799777";;"0,040164";;"0,04013";"3,4E-05";"-0,040096"
64;"0,799777";"103,107,186,26";"172,31,18,98";"TLSv1,2";140;"Application Data, Application Data";;;;;;"0,799777";"0,799811";;"3,4E-05";;"-0,026024";"0,026058";"0,052082"
65;"0,799811";"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=31742 Ack=1738 Win=63181 Len=0;;;;;;"0,799811";"0,825869";;"0,026058";;"-0,00013";"0,026188";"0,026318"
66;"0,825869";"103,107,186,26";"172,31,18,98";"TLSv1,2";140;"Application Data, Application Data";;;;;;"0,825869";"0,852057";;"0,026188";;"0,026155";"3,3E-05";"-0,026122"
67;"0,852057";"103,107,186,26";"172,31,18,98";"TLSv1,2";97;Application Data;;;;;;"0,852057";"0,85209";;"3,3E-05";;"-0,016339";"0,016372";"0,032711"
68;"0,85209";"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=31742 Ack=1867 Win=63052 Len=0;;;;;;"0,85209";"0,868462";;"0,016372";;"0,01634";"3,2E-05";"-0,016308"
69;"0,868462";"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;;;"0,868462";"0,868494";;"3,2E-05";;2E-06;3E-05;"2,8E-05"
70;"0,868494";"172,31,18,98";"103,107,186,26";"TLSv1,2";1334;Application Data;;;;;;"0,868494";"0,868524";;3E-05;;"-0,019139";"0,019169";"0,038308"
71;"0,868524";"172,31,18,98";"103,107,186,26";"TLSv1,2";105;Application Data;;;;;;"0,868524";"0,887693";;"0,019169";;"-0,012867";"0,032036";"0,044903"
72;"0,887693";"103,107,186,26";"172,31,18,98";"TLSv1,2";140;"Application Data, Application Data";;;;;;"0,887693";"0,919729";;"0,032036";;"0,031994";"4,2E-05";"-0,031952"
73;"0,919729";"103,107,186,26";"172,31,18,98";"TLSv1,2";140;"Application Data, Application Data";;;;;;"0,919729";"0,919771";;"4,2E-05";;"-0,000576";"0,000618";"0,001194"
74;"0,919771";"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=33126 Ack=2039 Win=62880 Len=0;;;;;;"0,919771";"0,920389";;"0,000618";;"0,000587";"3,1E-05";"-0,000556"
75;"0,920389";"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;;;"0,920389";"0,92042";;"3,1E-05";;-9E-06;4E-05;"4,9E-05"
76;"0,92042";"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;;;"0,92042";"0,92046";;4E-05;;"1,6E-05";"2,4E-05";8E-06
77;"0,92046";"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;;;"0,92046";"0,920484";;"2,4E-05";;1E-05;"1,4E-05";4E-06
78;"0,920484";"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;;;"0,920484";"0,920498";;"1,4E-05";;"-1,5E-05";"2,9E-05";"4,4E-05"
79;"0,920498";"172,31,18,98";"103,107,186,26";"TLSv1,2";1086;Application Data;;;;;;"0,920498";"0,920527";;"2,9E-05";;"-0,039251";"0,03928";"0,078531"
80;"0,920527";"172,31,18,98";"103,107,186,26";"TLSv1,2";306;Application Data;;;;;;"0,920527";"0,959807";;"0,03928";;"0,034505";"0,004775";"-0,02973"
81;"0,959807";"103,107,186,26";"172,31,18,98";"TLSv1,2";140;"Application Data, Application Data";;;;;;"0,959807";"0,964582";;"0,004775";;"0,004723";"5,2E-05";"-0,004671"
82;"0,964582";"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;;;"0,964582";"0,964634";;"5,2E-05";;"2,6E-05";"2,6E-05";0
83;"0,964634";"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;;;"0,964634";"0,96466";;"2,6E-05";;7E-06;"1,9E-05";"1,2E-05"
84;"0,96466";"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;;;"0,96466";"0,964679";;"1,9E-05";;"-1,8E-05";"3,7E-05";"5,5E-05"
85;"0,964679";"172,31,18,98";"103,107,186,26";"TLSv1,2";1073;Application Data;;;;;;"0,964679";"0,964716";;"3,7E-05";;"1,6E-05";"2,1E-05";5E-06
86;"0,964716";"172,31,18,98";"103,107,186,26";"TLSv1,2";118;Application Data;;;;;;"0,964716";"0,964737";;"2,1E-05";;"-0,005264";"0,005285";"0,010549"
87;"0,964737";"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;;;"0,964737";"0,970022";;"0,005285";;"-0,007408";"0,012693";"0,020101"
88;"0,970022";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2125 Ack=31705 Win=14070 Len=0;;;;;;"0,970022";"0,982715";;"0,012693";;"0,009241";"0,003452";"-0,005789"
89;"0,982715";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2125 Ack=31742 Win=14070 Len=0;;;;;;"0,982715";"0,986167";;"0,003452";;"-0,049584";"0,053036";"0,10262"
90;"0,986167";"103,107,186,26";"172,31,18,98";"TLSv1,2";97;Application Data;;;;;;"0,986167";"1,039203";;"0,053036";;"-0,016611";"0,069647";"0,086258"
91;1.039.203;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=43912 Ack=2168 Win=62751 Len=0;;;;"1,039203";;"1,039203";"1,10885";;"0,069647";;"0,017739";"0,051908";"0,034169"
92;1.108.850;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2168 Ack=33126 Win=14093 Len=0;;;;"1,10885";;"1,10885";"1,160758";;"0,051908";;"0,051908";0;"-0,051908"
93;1.160.758;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2168 Ack=34778 Win=14116 Len=0;;;;"1,160758";;"1,160758";"1,160758";;0;;0;0;0
94;1.160.758;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2168 Ack=36430 Win=14139 Len=0;;;;"1,160758";;"1,160758";"1,160758";;0;;"-8,6E-05";"8,6E-05";"0,000172"
95;1.160.758;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2168 Ack=38082 Win=14161 Len=0;;;;"1,160758";;"1,160758";"1,160844";;"8,6E-05";;"-0,044053";"0,044139";"0,088192"
96;1.160.844;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2168 Ack=39419 Win=14161 Len=0;;;;"1,160844";;"1,160844";"1,204983";;"0,044139";;"0,044139";0;"-0,044139"
97;1.204.983;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2168 Ack=40932 Win=14184 Len=0;;;;"1,204983";;"1,204983";"1,204983";;0;;"-0,000139";"0,000139";"0,000278"
98;1.204.983;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2168 Ack=42584 Win=14207 Len=0;;;;"1,204983";;"1,204983";"1,205122";;"0,000139";;"-0,036408";"0,036547";"0,072955"
99;1.205.122;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2168 Ack=43912 Win=14207 Len=0;;;;"1,205122";;"1,205122";"1,241669";;"0,036547";;"-0,01097";"0,047517";"0,058487"
100;1.241.669;"103,107,186,26";"172,31,18,98";"TLSv1,2";107;Application Data;;;;"1,241669";;"1,241669";"1,289186";;"0,047517";;"0,032137";"0,01538";"-0,016757"
101;1.289.186;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=43912 Ack=2221 Win=62698 Len=0;;;;"1,289186";;"1,289186";"1,304566";;"0,01538";;"-0,010806";"0,026186";"0,036992"
102;1.304.566;"103,107,186,26";"172,31,18,98";"TLSv1,2";200;"Application Data, Application Data";;;;"1,304566";;"1,304566";"1,330752";;"0,026186";;"0,026147";"3,9E-05";"-0,026108"
103;1.330.752;"103,107,186,26";"172,31,18,98";"TLSv1,2";180;"Application Data, Application Data";;;;"1,330752";;"1,330752";"1,330791";;"3,9E-05";;"-0,026031";"0,02607";"0,052101"
104;1.330.791;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=43912 Ack=2493 Win=64000 Len=0;;;;"1,330791";;"1,330791";"1,356861";;"0,02607";;"-9,2E-05";"0,026162";"0,026254"
105;1.356.861;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"1,356861";;"1,356861";"1,383023";;"0,026162";;"0,026142";2E-05;"-0,026122"
106;1.383.023;"103,107,186,26";"172,31,18,98";"TLSv1,2";261;"Application Data, Application Data, Application Data";;;;"1,383023";;"1,383023";"1,383043";;2E-05;;"-0,133082";"0,133102";"0,266184"
